iter	Passed	Remaining
983	42370	688
984	42404	645
985	42442	602
986	42480	559
987	42517	516
988	42554	473
989	42592	430
990	42630	387
991	42669	344
992	42707	301
993	42745	258
994	42784	214
995	42824	171
996	42863	128
997	42900	85
998	42937	42
999	42972	0
